index,item_id,shop_id,name,sold,historical_sold,liked_count,cmt_count,price,price_min,price_max,rating_star,start1,start2,start3,start4,start5,rcount_with_context,rcount_with_image
0,3530190776,14059421,Dép Nữ Thời Trang Đi Biển Đế Bệt Đính Nơ Quai Chéo Dễ Thương Cillie,45,2693,579,1220,14900000000,14900000000,14900000000,4.949180327868852,3,3,8,25,1181,714,567
1,5628896259,14059421,Dép nữ quai nhúng đế bệt cao cấp quai ngang dễ thương hottrend 2021 mang văn phòng đi chơi đi biển Cillie 2009,1,1231,459,576,18900000000,18900000000,18900000000,4.940869565217391,3,1,3,17,552,324,272
2,2086482346,14059421,Giày búp bê nữ thời trang mũi tròn đế bằng da thật êm chân phối lưới mang đi làm đi chơi tiện lợi Cillie 1135,10,490,188,236,24900000000,24900000000,24900000000,4.966101694915254,0,0,1,6,229,133,97
3,5245588242,14059421,"Giày cao gót nữ mũi nhọn basic Cillie gót nhọn cao 7p 5p 3p thiết kế đơn giản dễ mang đi làm công sở, đi dạo",25,908,493,427,24900000000,24900000000,24900000000,4.9203747072599535,1,1,5,17,403,266,209
4,2793321228,14059421,Giày sandal nữ quai ngang đơn giản mũi vuông quai mảnh nữ tính nhẹ nhàng màu pastel mang đi chơi làm Cillie cao 2cm 1002,6,498,403,242,19900000000,19900000000,21900000000,4.904958677685951,0,0,7,9,226,154,123
5,7643105546,14059421,Giày búp bê nữ đế bệt mũi tròn da bò êm chân mang đi làm đi chơi thoải mái cả ngày cao cấp Cillie 1193,1,415,154,186,17900000000,17900000000,17900000000,4.946236559139785,1,0,1,4,180,115,88
6,4455101403,14059421,Giày búp bê nữ đế bằng da thật êm mềm ôm chân đi chơi đi làm Cillie 1122,1,242,122,114,26900000000,26900000000,26900000000,4.95575221238938,1,0,0,5,108,53,40
7,7428928217,14059421,Miếng lót giày Cillie nâng size chân 3180,15,486,82,151,1500000000,1500000000,1500000000,4.947019867549669,1,0,0,4,146,63,52
8,1481535169,14059421,Giày Lười Êm Chân Giày Mọi Nữ Da Thật Đế Bệt Kiểu Dáng Slip On Công Sở Đi Làm Đi Chơi Misho 1060,28,439,383,190,27900000000,27900000000,27900000000,4.926315789473684,0,1,3,5,181,121,81
9,6855174739,14059421,Dép Sandal Nữ Dây Mảnh Đế Bệt Quai Ngang Nữ Tính Nhẹ Nhàng Đi Học Đi Chơi Cillie 1102,11,324,341,129,17900000000,17900000000,17900000000,4.875968992248062,1,1,2,5,120,61,51
10,7643176998,14059421,Giày đế xuồng da thật hở mũi êm chân mang công sở đi làm cao 5cm Cillie 1192,11,233,153,99,28900000000,28900000000,28900000000,4.898989898989899,0,0,2,6,91,58,36
11,7445545846,14059421,Giày sandal nữ đế bệt đan dây xỏ ngón thời trang đi biển đi chơi trẻ trung năng động cao cấp Cillie 1061,6,246,169,109,18900000000,18900000000,18900000000,4.91743119266055,0,0,2,5,102,61,51
12,2783774097,14059421,Giày búp bê nữ mũi tròn đế bằng basic phối nơ nhẹ nhàng da thật êm mềm ôm chân Misho 1099,3,147,93,70,19900000000,19900000000,19900000000,4.9,1,0,0,3,66,38,27
