index,item_id,shop_id,name,sold,historical_sold,liked_count,cmt_count,price,price_min,price_max,rating_star,start1,start2,start3,start4,start5,rcount_with_context,rcount_with_image
0,5943771988,25211549,Giày Chạy Bộ Biti's Hunter Running Grey DSWH03900XAM/DSMH03900XAM,9,588,509,258,96000000000,96000000000,96000000000,4.841085271317829,4,2,4,11,237,104,94
1,4342545315,25211549,Giày Biti's Hunter Core Americano 2k20 DSWH03200DEN/DSMH03200DEN,23,1647,972,737,65800000000,65800000000,65800000000,4.959294436906378,1,1,2,19,714,389,335
2,7680862877,25211549,[Mã WABRBTIS giảm 10% đơn 500K] Giày Biti's Hunter Core 2K21 DSMH05000XAM/DSWH05000XAM (XAM),85,1955,807,823,69400000000,69400000000,69400000000,4.918590522478737,7,3,5,20,788,452,397
3,5042533020,25211549,Giày Biti's Hunter Street Americano 2k20 DSWH03600DEN/DSMH03600DEN,247,4418,6946,2018,72300000000,72300000000,72300000000,4.914186507936508,4,10,22,89,1893,1051,916
4,11116132138,25211549,[Mã WABRBTIS giảm 10% đơn 500K] Giày Thể Thao Nam - Nữ Biti's Hunter 2K21 X Old Kool Black DSMH06500DEN/DSWH06500DEN,39,1792,1011,793,82000000000,82000000000,82000000000,4.939470365699874,1,4,3,26,759,468,422
5,5347645313,25211549,[FA + gift] Bình giữ nhiệt Biti's cao cấp Inox 304 500ml,0,1112,79,526,45000000000,45000000000,45000000000,4.929657794676806,4,1,5,8,508,202,167
6,6280738535,25211549,[Mã WABRBTIS giảm 10% đơn 500K] Giày Biti's Hunter Street 2K21 DSMH04000XNG/DSWH04000XNG (XNG),61,1323,3444,607,44300000000,44300000000,44300000000,4.937397034596375,2,0,7,16,582,321,284
7,8485315704,25211549,[Mã WABRBTIS giảm 10% đơn 500K] Giày Thể Thao Nam - Nữ Biti's Hunter Core DSMH06400KED/DSWH06400KED (Kem đậm),10,1197,1134,544,68000000000,68000000000,68000000000,4.928308823529412,1,2,7,15,519,341,302
8,3555310799,25211549,[Mã WABRBTIS giảm 10% đơn 500K] Combo Biti's Hunter túi giày đen+ 2 đôi vớ cổ thấp (màu ngẫu nhiên),0,562,18,279,45000000000,45000000000,45000000000,4.946236559139785,2,0,2,3,272,72,73
9,10527625099,25211549,[Mã WABRBTIS giảm 10% đơn 500K] Giày Thể Thao Nam - Nữ Biti's Hunter Street Z DSMH06200TRG/DSWH06200TRG(Trắng ),256,1387,1703,607,77300000000,77300000000,77300000000,4.912685337726524,2,1,8,26,570,340,299
10,1769227613,25211549,Giày Biti’s Hunter X – 2K18 – DSUH00500DEN - Midnight Black II,270,2247,1666,973,82000000000,82000000000,88500000000,4.915724563206577,5,4,8,34,922,481,414
11,3029465761,25211549,Giày Biti's Hunter X 2K21 Army Green DSMH05100REU/DSWH05100REU (Rêu),36,2809,3490,1252,91300000000,91300000000,96000000000,4.876996805111821,7,7,29,47,1162,692,611
12,9221018451,25211549,[Mã WABRBTIS giảm 10% đơn 500K] Giày Biti's Hunter Street 2K21 DSMH04000XDL/DSWH04000XDL (XDL),14,1340,1588,651,44300000000,44300000000,44300000000,4.907834101382488,4,2,5,28,612,387,351
