index,item_id,shop_id,name,sold,historical_sold,liked_count,cmt_count,price,price_min,price_max,rating_star,start1,start2,start3,start4,start5,rcount_with_context,rcount_with_image
0,6055342998,71009635,Dép adidas SWIM Nữ Dép xỏ ngón Comfort Màu đen EG2065,0,406,127,160,80000000000,80000000000,80000000000,4.86875,1,1,1,12,145,57,40
1,5554337612,71009635,Tất Ẩn adidas TRAINING Unisex Bộ 3 đôi tất thấp cổ có đệm Màu xám DZ9383,13,467,46,139,35000000000,35000000000,35000000000,4.899280575539568,1,0,2,6,130,30,30
2,4855344455,71009635,Tất Ẩn adidas ORIGINALS Unisex 3 đôi tất Trefoil Liner Màu đen S20274,5,299,51,110,40000000000,40000000000,40000000000,4.909090909090909,0,1,2,3,104,32,26
3,5555302278,71009635,Áo Tee adidas RUNNING Nam Áo Thun Own the Run Màu đen FS9799,12,226,31,46,75000000000,75000000000,75000000000,5,0,0,0,0,46,10,8
4,6986004884,71009635,Dép adidas ORIGINALS Nam Adilette Lite Slides Màu trắng FU8297,9,89,59,17,80000000000,80000000000,80000000000,5,0,0,0,0,17,6,5
5,4388703548,71009635,Giày adidas ORIGINALS Unisex trẻ em Giày Stan Smith Màu trắng FX7519,3,190,225,57,170000000000,170000000000,170000000000,4.7894736842105265,2,0,1,2,52,37,36
6,5355342895,71009635,Tất Ẩn adidas ORIGINALS Unisex 3 đôi tất Trefoil Liner Màu trắng S20273,0,221,68,71,40000000000,40000000000,40000000000,5,0,0,0,0,71,21,18
7,7148533332,71009635,Dép adidas ORIGINALS Nam Dép adilette Màu trắng 280648,1,202,109,46,95000000000,95000000000,95000000000,4.826086956521739,2,0,0,0,44,9,8
8,8402890388,71009635,Dép adidas SWIM Unisex trẻ em Dép adilette Comfort Màu hồng FY8834,17,145,133,35,60000000000,60000000000,60000000000,4.9714285714285715,0,0,0,1,34,19,19
9,7068518749,71009635,Dép adidas SWIM Dép nhà tắm Adilette Màu đen FZ1716,60,259,55,65,50000000000,50000000000,50000000000,4.923076923076923,0,1,1,0,63,19,18
10,4754265943,71009635,Giày adidas ORIGINALS Unisex trẻ em Giày Superstar Màu trắng EF4838,2,122,225,35,170000000000,170000000000,170000000000,4.914285714285715,0,0,0,3,32,13,12
11,4154266415,71009635,Dép adidas SWIM Unisex Dép Adissage Màu xanh dương F35579,16,126,42,49,75000000000,75000000000,75000000000,4.918367346938775,0,0,1,2,46,16,15
12,8094310584,71009635,Áo Tee adidas TRAINING Nam Áo Thun Slim 3 Sọc Primeblue AEROREADY Màu xám H16879,2,310,41,71,80000000000,80000000000,80000000000,4.704225352112676,4,0,1,3,63,32,27
13,3555423303,71009635,Áo Tee adidas TRAINING Nam Áo phông AEROREADY 3 Sọc Màu đen FL4309,10,279,48,76,75000000000,75000000000,75000000000,4.746666666666667,4,0,2,3,67,18,13
14,4086026463,71009635,Áo Polo adidas TENNIS Nam Áo polo 3 Sọc Tennis Club Màu đen GL5421,17,301,42,59,85000000000,85000000000,85000000000,4.6440677966101696,3,0,4,1,51,15,16
15,9217867478,71009635,Áo Polo adidas TENNIS Nam Áo polo 3 Sọc Tennis Club Màu trắng GL5416,6,180,37,21,85000000000,85000000000,85000000000,4.809523809523809,1,0,0,0,20,6,6
16,4969302670,71009635,adidas TRAINING Nữ AEROREADY Designed 2 Move 3-Stripes Sport Tee Màu đen GL3788,1,125,41,34,60000000000,60000000000,60000000000,5,0,0,0,0,34,5,5
17,8702890213,71009635,Quần Ngắn adidas RUNNING Nữ Marathon 20 Shorts Màu đen GK5265,2,149,103,51,70000000000,70000000000,70000000000,4.980392156862745,0,0,0,1,50,10,10
18,4155343393,71009635,Tất adidas ORIGINALS Unisex Tất Trefoil cao đến cổ chân 3 đôi Màu trắng EE1152,8,185,23,60,35000000000,35000000000,35000000000,4.933333333333334,1,0,0,0,59,24,21
19,3255462205,71009635,Quần Ngắn adidas ORIGINALS Nữ 3-Stripes Shorts Màu đen FM2610,0,123,82,31,90000000000,90000000000,90000000000,5,0,0,0,0,31,8,5
20,4454264769,71009635,Giày adidas ORIGINALS Unisex trẻ em Giày Superstar Màu đen EF5398,0,72,67,22,170000000000,170000000000,170000000000,4.909090909090909,0,0,1,0,21,8,8
21,5155342829,71009635,Tất Ẩn adidas ORIGINALS Unisex Bộ 3 đôi tất ẩn Màu đen FM0677,1,175,34,65,35000000000,35000000000,35000000000,4.861538461538461,1,0,1,3,60,20,17
22,8817867564,71009635,Dép adidas ORIGINALS Nam Adilette Lite Slides Màu đỏ FU8296,1,103,46,30,80000000000,80000000000,80000000000,4.933333333333334,0,0,1,0,29,12,12
23,7555297322,71009635,Áo Tee adidas TRAINING Nữ Áo phông huy hiệu thể thao Màu xanh dương FJ7327,2,98,36,37,44800000000,44800000000,44800000000,4.891891891891892,0,0,2,0,35,14,11
24,6668519163,71009635,Áo Tee adidas ORIGINALS Áo thun 3 Sọc Classics Adicolor Màu trắng GN3494,3,188,144,50,85000000000,85000000000,85000000000,4.92,1,0,0,0,49,20,17
25,7354308140,71009635,Áo Tee adidas RUNNING Nam Own the Run Tank Top Màu đen GC7865,9,107,44,40,60000000000,60000000000,60000000000,4.675,2,0,2,1,35,13,11
26,6055303740,71009635,Quần Ngắn adidas ORIGINALS Nam Quần short 3 Sọc Kẻ Màu đen DH5798,0,112,33,36,140000000000,140000000000,140000000000,4.666666666666667,3,0,0,0,33,14,11
27,7255303881,71009635,Áo Tee adidas Nữ Áo Phông Brilliant Basics Màu xanh lá FM6201,5,183,66,74,36400000000,36400000000,36400000000,4.783783783783784,1,1,4,1,67,39,35
28,12019876385,71009635,Dép adidas SWIM Unisex Sandal Adilette Comfort Màu xanh dương GV9713,0,48,10,19,85000000000,85000000000,85000000000,4.894736842105263,0,0,1,0,18,8,6
29,5054306353,71009635,Áo Tee adidas RUNNING Nữ Áo thun Own the Run Màu đen FS9830,7,92,52,26,42000000000,42000000000,42000000000,5,0,0,0,0,26,8,6
