index,item_id,shop_id,name,sold,historical_sold,liked_count,cmt_count,price,price_min,price_max,rating_star,start1,start2,start3,start4,start5,rcount_with_context,rcount_with_image
0,712515962,39332759,Giá Treo Quần Áo Đồ BEYOURs Kệ Gỗ Đa Năng SingleHanger Nội Thất Phòng Ngủ Lắp Ráp Dễ Dàng,39,11241,33365,4293,23900000000,23900000000,27900000000,4.925588989969675,16,13,42,132,4084,2069,1616
1,7751307036,39332759,[Mã LIFEM2157 -80K từ 250K] Gương Soi Để Bàn Trang Điểm Gỗ Mini BEYOURs PhấnMirror Đẹp Nội Thất Decor Phòng Ngủ,80,8191,6727,3796,11900000000,11900000000,11900000000,4.957586933614331,6,4,25,75,3686,2178,1912
2,727219525,39332759,Giá Treo Quần Áo Đồ BEYOURs Kệ Gỗ A-Hanger 2FL Đa Năng Nội Thất Phòng Ngủ Lắp Ráp Dễ Dàng,36,6635,31658,2709,62900000000,62900000000,73900000000,4.9331363132619135,11,6,22,82,2588,1270,1030
3,744130247,39332759,[LIFEMALL250156 -80K] Cây Treo Móc Quần Áo Đồ Gỗ BEYOURs Thông Minh Standing-Hanger Đa Năng Nội Thất Phòng Khách Và Ngủ,67,6470,28888,2272,30900000000,30900000000,36900000000,4.935654473336271,11,6,12,71,2172,1055,822
4,7821257461,39332759,Ghế Sofa Giường Nằm Đa Năng Thông Minh BEYOURs Bumbee Sofa Bed Nội Thất Lắp Ráp Phòng Khách,22,1004,13268,468,269900000000,269900000000,269900000000,4.871794871794871,3,1,12,21,431,264,217
5,2280077559,39332759,Giá Treo Quần Áo Đồ BEYOURs Kệ Gỗ A-Hanger 2FM Đa Năng Nội Thất Phòng Ngủ Lắp Ráp Dễ Dàng,8,2736,19778,1127,54900000000,54900000000,64900000000,4.907719609582964,7,1,12,49,1058,534,448
6,1492262288,39332759,[Mã LIFEM2157 giảm 80K đơn 250K] Bộ 10 Móc Treo Quần Áo Đồ Gỗ BEYOURs - Móc Phơi Đồ - Nội Thất Lắp Ráp Phòng Ngủ,54,4081,18478,1081,16900000000,16900000000,16900000000,4.8936170212765955,6,3,20,42,1010,486,379
7,763737314,39332759,[Mã LIFEM2157 giảm 80K đơn 250K] Tủ Kệ Đầu Giường Gỗ BEYOURs Đa Năng GlassShelf Nội Thất Lắp Ráp Phòng Ngủ,5,3268,25775,1458,31900000000,31900000000,35900000000,4.911461908030199,10,2,18,51,1377,732,622
8,6235241995,39332759,[LIFEM2157 -80K từ 250K] Sọt Giỏ Lục Bình Đa Năng BEYOURs Để Đồ Đựng Quần Áo Nội Thất Phòng Ngủ Và Làm Việc,10,1233,7350,347,16900000000,16900000000,16900000000,4.92507204610951,3,2,3,2,337,127,107
9,5590910812,39332759,[LIFEBMO27 -100K từ 250K] Kệ Sách Để Bàn Làm Việc Gỗ Mini Bella BEYOURs Đa Năng Nội Thất Phòng Làm Việc Lắp Ráp Dễ Dàng,5,654,875,310,18900000000,18900000000,18900000000,4.893548387096774,1,3,5,10,291,176,164
10,727154600,39332759,[Mã LIFEM2157 giảm 80K đơn 250K] Kệ Khay Đa Năng Decor Bằng Gỗ BEYOURs A Case Nội Thất Kiểu Hàn Lắp Ráp,1,769,11234,168,37900000000,37900000000,37900000000,4.868263473053892,0,2,3,10,152,88,67
11,6434359261,39332759,[Mã LIFENT1TR giảm 10% đơn 500K] Giường Ngủ Pallet Gỗ Thông BEYOURs Skinny Gấp Xếp Gọn Thông Minh Kiểu Nội Thất Lắp Ráp,0,213,8525,101,159900000000,159900000000,159900000000,4.871287128712871,1,0,3,3,94,38,31
12,791056327,39332759,[Mã LIFEBKJAN100 giảm 10% tối đa 100K] Kệ Đa Năng Bằng Gỗ BEYOURs Bench 2FM Để Sách Giày Dép Đựng Đồ Nội Thất,3,1735,4608,782,36900000000,36900000000,41900000000,4.947570332480819,2,1,4,22,753,322,258
13,727270929,39332759,"[LIFEM2157 -80K từ 250K] Bàn Ăn Mini Gỗ BEYOURs Bed Tray Chân Gập Đa Năng Nội Thất Phòng Khách, Phòng Ngủ",1,688,15203,307,39900000000,39900000000,39900000000,4.970684039087948,0,0,2,5,300,153,118
14,1050709134,39332759,[Mã LIFEM2157 giảm 80K đơn 250K] Kệ Gỗ Đa Năng Lò Vi Sóng Decor BEYOURs Oven Rack 2F - Nội Thất Lắp Ráp Phòng Bếp,0,507,22742,208,41900000000,41900000000,49900000000,4.956730769230769,1,0,0,5,202,100,76
15,7807097961,39332759,[LIFEMALL250156] Gương Tròn Soi Treo Tường BEYOURs Khung Gỗ Decor Mia-Circle-Mirror Trang Điểm Đẹp Nội Thất Phòng Ngủ,2,940,11846,362,62900000000,62900000000,65900000000,4.941988950276243,2,0,2,9,349,168,135
16,727209185,39332759,[Mã LIFEM2157 -80K đơn 250K] Giá Treo Quần Áo Đồ BEYOURs Kệ Gỗ A-Hanger 1FL Đa Năng Nội Thất Phòng Ngủ Lắp Ráp Dễ Dàng,10,1311,24654,468,52900000000,52900000000,57900000000,4.888888888888889,4,0,10,16,438,208,136
17,736906654,39332759,[Mã LIFEM2157 giảm 80K đơn 250K] Kệ Bếp Đựng Gia Vị Đa Năng Gỗ BEYOURs Cup Shelf Đồ Dụng Cụ Nhà Bếp Thông Minh,0,739,22357,287,43900000000,43900000000,43900000000,4.93006993006993,1,0,3,10,272,145,117
18,4601756054,39332759,[LIFEMALL250156] Tủ Treo Quần Áo Gỗ BEYOURs Size Khổng Lồ Double Hanger Có Kệ Đa Năng Nội Thất Phòng Ngủ Lắp Ráp Dễ Dàng,6,590,11918,243,159900000000,159900000000,169900000000,4.91358024691358,1,1,3,8,230,113,89
19,3752019670,39332759,Bàn Làm Việc Gỗ Thông Minh BEYOURs Neuly Table Phối Kệ Sách Đa Năng Nội Thất Lắp Ráp Phòng Làm Việc Lắp Ráp Dễ Dàng,6,555,3833,297,163900000000,163900000000,163900000000,4.804054054054054,3,3,7,27,257,165,128
20,1644890888,39332759,[Mã LIFEM2157 giảm 80K đơn 250K] Tủ Giày Dép Thông Minh Bằng Gỗ BEYOURs 1 Tầng - Nội Thất Lắp Ráp Phòng Khách,0,400,12225,176,98900000000,98900000000,98900000000,4.801136363636363,2,1,6,12,155,82,66
21,5650212404,39332759,"[LIFEM2157 -80K từ 250K] Ghế Đôn Sofa Nệm BEYOURs Tròn Chân Gỗ - Nội Thất Phòng Khách, Phòng Làm Việc",4,178,1719,48,68900000000,68900000000,89900000000,5,0,0,0,0,48,21,22
22,7788592522,39332759,[Mã LIFEM2157 -80K đơn 250K] Bàn Trang Điểm Gỗ Ngồi Bệt Aimee Thông Minh BEYOURs Nội Thất Phòng Ngủ,2,351,3930,151,99900000000,99900000000,99900000000,4.701986754966887,4,3,4,12,128,92,80
23,1126123999,39332759,[LIFEM2157 -80K từ 250K] Kệ Gỗ Đa Năng Lò Vi Sóng Decor BEYOURs Oven Rack 4F Nội Thất Phòng Bếp Lắp Ráp Dễ Dàng,1,183,17557,70,77900000000,77900000000,83900000000,4.914285714285715,0,0,0,6,64,28,22
24,896288658,39332759,Tủ Đựng Gia Vị Gỗ BEYOURs A Bread Case Nội Thất Lắp Ráp Nhà Bếp,0,164,5856,69,48900000000,48900000000,48900000000,4.855072463768116,1,1,1,1,65,28,19
25,790954243,39332759,Kệ Gỗ Đa Năng Decor BEYOURs Tủ Đầu Giường Shelf 2F 2 Tầng Đựng Sách Đồ,1,152,6820,66,35800000000,35800000000,35800000000,4.893939393939394,0,0,1,5,60,29,24
26,1126115167,39332759,Kệ Để Lò Vi Sóng Gỗ Đa Năng 3 Tầng BEYOURs Oven Rack 3f Nội Thất Lắp Ráp - Nội Thất Phòng Bếp,0,161,18759,55,62900000000,62900000000,67900000000,4.836363636363636,0,1,1,4,49,22,14
27,1270613443,39332759,Cây Treo Móc Quần Áo Đồ Gỗ BEYOURs Thông Minh StandingHanger Đa Năng Nội Thất,0,124,17780,42,39900000000,39900000000,39900000000,4.833333333333333,0,1,2,0,39,17,11
28,2059595306,39332759,Gương Đứng Soi Toàn Thân Gỗ BEYOURs Chân Di Động A-Mirror Nội Thất Phòng Ngủ Và Làm Việc Lắp Ráp Dễ,1,131,12187,52,149900000000,149900000000,175000000000,4.9423076923076925,0,0,0,3,49,23,21
29,1759208318,39332759,"Kệ Đa Năng Bằng Gỗ BEYOURs Bench 3FM Để Sách Giày Dép Đựng Đồ Dễ Dàng Lắp Ráp Phòng Khách, Phòng Ngủ",3,102,173,38,62900000000,62900000000,62900000000,5,0,0,0,0,38,13,9
30,2959844280,39332759,[Mã LIFEM2157 giảm 80K đơn 250K] Kệ Gỗ Treo Tường Decor BEYOURs Đa Năng Trang Trí Đựng Sách Đồ Nội Thất Phòng Khách,0,232,276,79,19900000000,19900000000,19900000000,4.848101265822785,0,2,1,4,72,49,41
31,612984654,39332759,Bàn Trà Sofa Thông Minh BEYOURs D Table Bằng Gỗ Hình Hạt Đậu Nội Thất Lắp Ráp Phòng Khách,0,122,7958,51,115000000000,115000000000,135000000000,4.862745098039215,1,0,0,3,47,25,16
32,762609972,39332759,Bàn Trà Sofa Gỗ BEYOURs B Table Hình Thang Nội Thất Lắp Ráp Phòng Khách,0,101,6489,40,98900000000,98900000000,129000000000,4.975,0,0,0,1,39,20,16
33,4133300258,39332759,[LIFEBMO27 -100K từ 250K] Tủ Giày Dép Thông Minh Gỗ BEYOURs 3 Tầng Kèm Ngăn Mũ Bảo Hiểm - Nội Thất Lắp Ráp Phòng Khách,3,116,2841,51,284900000000,284900000000,284900000000,4.745098039215686,1,0,3,3,44,25,20
34,763746704,39332759,Kệ gỗ đầu Giường BEYOURs Glass shelf Natural - Sản phẩm Tặng Kèm Khi Mua Giường Acep - Nội Thất Phòng Ngủ,1,64,3829,19,41900000000,41900000000,41900000000,4.7368421052631575,1,0,0,1,17,10,6
35,4134801710,39332759,Bộ Nội Thất Phòng Ngủ BEYOURs 02 A Hanger 2FL Nội Thất Lắp Ráp,2,83,2834,30,149900000000,149900000000,149900000000,4.966666666666667,0,0,0,1,29,16,12
36,779494223,39332759,Kệ Vuông 5 Tầng BEYOURs Shelf 5F Nội Thất Kiểu Hàn Lắp Ráp,0,92,17656,39,67900000000,67900000000,67900000000,4.948717948717949,0,0,0,2,37,20,16
37,9618236852,39332759,"[LIFEBMO062] Bàn Trà Gỗ Sofa Tròn BEYOURs Hiện Đại - Dễ Dàng Lắp Ráp - Bee - Nội Thất Phòng Khách, Bếp Và Phòng Ăn",5,122,262,48,40900000000,40900000000,44900000000,5,0,0,0,0,48,19,19
38,4741589608,39332759,Kệ Sách Đa Năng Rễ Cây BEYOURs Nội Thất Lắp Ráp Phòng Làm Việc,1,65,4218,24,19900000000,19900000000,19900000000,4.916666666666667,0,0,1,0,23,9,9
39,6024032408,39332759,[LIFEM2157 -80K từ 250K] Bàn Làm Việc Gỗ BEYOURs Thông Minh Chắc Chắn Dra Long Nội Thất Phòng Làm Việc Lắp Ráp Dễ Dàng,0,57,4243,26,215000000000,215000000000,215000000000,4.730769230769231,1,0,1,1,23,17,15
40,1637842631,39332759,"[LIFEBMO27 -100K từ 250K] Gương Soi Toàn Thân BEYOURs Khung Gỗ Phối Kệ - Self Mirror - Nội Thất Phòng Khách, Phòng Ngủ",0,35,4364,21,149900000000,149900000000,159900000000,4.904761904761905,0,0,0,2,19,10,9
41,5113805162,39332759,Kệ Để Chén Đĩa BEYOURs Dish Rack Nội Thất Kiểu Hàn Lắp Ráp,1,50,263,16,24500000000,24500000000,24500000000,5,0,0,0,0,16,8,8
42,7166590144,39332759,"Bàn Trà Gỗ Sofa Tròn Hiện Đại BEYOURs Cubo Nội Thất Phòng Khách, Bếp Dễ Dàng Lắp Ráp",0,26,160,13,74900000000,74900000000,74900000000,4.923076923076923,0,0,0,1,12,8,8
43,9621565136,39332759,[LIFEBMO062] Kệ Đựng Sách Gỗ 4 Tầng Khung Sắt BEYOURs ATHENABOOK 4FL Để Đồ Đa Năng Decor Nội Thất Phòng Khách Phòng Ngủ,1,49,126,26,104900000000,104900000000,104900000000,4.730769230769231,1,0,1,1,23,21,20
44,764904933,39332759,Kệ Đựng Sách Gỗ 3 Tầng Khung Sắt BEYOURs ATHENABOOK 3FL Để Đồ Đa Năng Decor Nội Thất Phòng Khách Phòng Ngủ,0,32,4221,12,89900000000,89900000000,89900000000,4.833333333333333,0,0,1,0,11,5,3
45,2290617928,39332759,"Bàn Trà Sofa Gỗ Cao Su Hiện Đại BEYOURs C Table Nội Thất Phòng Khách, Bếp Lắp Ráp Dễ Dàng",0,18,2196,10,69000000000,69000000000,115900000000,5,0,0,0,0,10,4,2
46,11616441887,39332759,Bộ Chăn Ga Gối Họa Tiết Cao Cấp Dra Cam Xám BEYOURs Nội Thất Phòng Ngủ Kiểu Hàn,0,18,57,6,64900000000,64900000000,64900000000,4.333333333333333,1,0,0,0,5,1,1
47,10116439752,39332759,Kệ Sách Tủ Đựng Decor BEYOURs BeY Cabinet Không Hậu Đa Năng Trang Trí Nội Thất Phòng Khách - Phòng Làm Việc,0,40,67,11,46900000000,46900000000,46900000000,4.7272727272727275,0,1,0,0,10,9,7
48,4684933579,39332759,Bộ Sofa Giường Bàn Trà Ghế Đôn BEYOURs Đa Năng Tiện Dụng Nội Thất Phòng Khách Lắp Ráp Dễ Dàng,2,9,103,4,429000000000,429000000000,429000000000,5,0,0,0,0,4,2,2
49,6158128426,39332759,Ghế Gỗ Làm Việc Văn Phòng BEYOURs Pin Stool Nội Thất Kiểu Hàn Phòng Làm Việc,0,6,405,4,115000000000,115000000000,115000000000,5,0,0,0,0,4,1,1
50,4924158842,39332759,Bàn Trang Điểm BEYOURs B Charming Dressing Table Nội Thất Kiểu Hàn Lắp Ráp - Trắng,1,6,5514,4,319000000000,319000000000,319000000000,4.75,0,0,0,1,3,2,1
51,13028147434,39332759,Kệ Sách Tủ Đựng Decor BEYOURs BeY Cabinet Có Hậu Màu Gỗ Tự Nhiên Đa Năng Trang Trí Nội Thất Phòng Khách - Phòng Làm Việc,1,10,34,5,39000000000,39000000000,46900000000,4.6,0,0,1,0,4,4,3
52,4988950904,39332759,Giường Ngủ Pallet Gỗ Thông Minh BEYOURs Acep Bed Nội Thất Kiểu Hàn Lắp Ráp Phòng Ngủ,0,20,240,9,269000000000,269000000000,319000000000,3.888888888888889,1,1,1,1,5,6,4
53,5241377648,39332759,Bộ Ghế Sofa Thông Minh BEYOURs Bumbee Sofa Bed Giường Nằm Nội Thất Kiểu Hàn Lắp Ráp,0,6,3981,2,429000000000,429000000000,429000000000,5,0,0,0,0,2,1,2
54,12328153675,39332759,Kệ Sách Tủ Đựng Decor BEYOURs BeY Cabinet Có Hậu Màu Nâu Đa Năng Trang Trí Nội Thất Phòng Khách - Phòng Làm Việc,0,0,6,0,39000000000,39000000000,46900000000,0,0,0,0,0,0,0,0
55,6895234084,39332759,Bộ Chăn Ga Gối Họa Tiết Cao Cấp Bằng Tencel BEYOURs Nội Thất Phòng Ngủ Kiểu Hàn,0,1,28,0,269000000000,269000000000,269000000000,0,0,0,0,0,0,0,0
56,8074669727,39332759,[Sản phẩm tặng không bán]Bộ 10 Móc Treo Quần Áo Đồ Gỗ BEYOURs - Nội Thất Lắp Ráp Phòng Ngủ,1,14,17,6,24900000000,24900000000,24900000000,5,0,0,0,0,6,0,0
57,5941071055,39332759,Bàn Làm Việc Gỗ BEYOURs - A Pin Table Bàn Học Sinh Đa Năng - Nội Thất Phòng Làm Việc - Phòng Khách,0,1,1802,0,478400000000,478400000000,478400000000,0,0,0,0,0,0,0,0
58,4793703245,39332759,[Sản phẩm tặng không bán]Cây Treo Móc Quần Áo Đồ Gỗ BEYOURs Thông Minh Standing-Hanger Đa Năng Nội Thất Phòng Ngủ,0,2,13,1,59900000000,59900000000,59900000000,5,0,0,0,0,1,0,0
59,13993440286,39332759,Giá Đỡ Điện Thoại Mini Bằng Gỗ Tiện Lợi Để Bàn Trang Trí Decor BEYOURs Nội Thất Hàng Đầu Việt Nam,36,38,8,8,3000000000,3000000000,3000000000,4.5,1,0,0,0,7,4,3
60,16773830560,39332759,Gương Soi Để Bàn Trang Điểm Bằng Gỗ Tiện Lợi Để Bàn Trang Trí Decor BEYOURs MiniMirror Đẹp Nội Thất Phòng Ngủ,6,6,11,3,18900000000,18900000000,18900000000,4.333333333333333,0,0,1,0,2,1,0
61,16728377616,39332759,[SẢN PHẨM TẶNG] Sọt Giỏ Lục Bình Đa Năng BEYOURs Để Đồ Đựng Quần Áo Nội Thất Phòng Ngủ Và Làm Việc,2,10,1,3,99900000000,99900000000,99900000000,5,0,0,0,0,3,0,0
62,15287121526,39332759,Nón Bảo Hiểm BEYOURs HELMETS Chính Hãng Màu Sắc Đa Dạng Trẻ Trung Đệm Mút Xốp Vải Thoáng Khí,0,0,0,0,25900000000,25900000000,25900000000,0,0,0,0,0,0,0,0
63,15538373145,39332759,Tủ Kệ Đầu Giường Gỗ BEYOURs Đa Năng RUBY TAB,0,2,9,0,109000000000,109000000000,109000000000,0,0,0,0,0,0,0,0
64,11816220742,39332759,[Sản phẩm tặng không bán]Kệ Sách Để Bàn Làm Việc Gỗ Mini BEYOURs Đa Năng Nội Thất Phòng Làm Việc Lắp Ráp Dễ Dàng,0,1,59,0,49900000000,49900000000,49900000000,0,0,0,0,0,0,0,0
65,10016219859,39332759,[Sản phẩm tặng không bán]Gương Soi Để Bàn Trang Điểm Gỗ BEYOURs PhấnMirror Đẹp Nội Thất Decor Phòng Ngủ,0,0,8,0,39900000000,39900000000,39900000000,0,0,0,0,0,0,0,0
66,6995233683,39332759,Bộ Chăn Ga Gối Họa Tiết Cao Cấp Bằng Lụa Sumoi Dra BEYOURs Nội Thất Phòng Ngủ Kiểu Hàn,0,1,22,0,206900000000,206900000000,206900000000,0,0,0,0,0,0,0,0
