index,item_id,shop_id,name,sold,historical_sold,liked_count,cmt_count,price,price_min,price_max,rating_star,start1,start2,start3,start4,start5,rcount_with_context,rcount_with_image
0,188203363,18645997,[Mã 157ELSALE giảm 7% đơn 300K] Bếp gas hồng ngoại kính cường lực Fujishi FM-H790-HN,18,1174,481,468,40900000000,40900000000,40900000000,4.805803571428571,6,3,15,24,400,266,114
1,433602230,18645997,Bộ van gas điều áp tự động an toàn Namilux NA-345S-VN (gồm van+[ 1.5m ] dây dẫn gas + [ 2 cái ] cổ dê) - HÀNG CHÍNH HÃNG,6,298,49,116,25000000000,25000000000,25000000000,4.913793103448276,1,0,2,2,111,49,38
2,1909893371,18645997,[Mã ELHA22 giảm 6% đơn 300K] Máy làm mát không khí FujiE AC-18B,0,110,130,51,155000000000,155000000000,155000000000,4.823529411764706,1,0,0,5,45,28,16
3,272007126,18645997,"Bếp gas đơn chén nhôm Fujishi FR-268N Sài Bình Gas Lớn, BH 12 tháng",9,324,143,101,21900000000,21900000000,21900000000,4.797979797979798,0,2,2,10,85,52,24
4,1508992699,18645997,Ấm sắc thuốc điện gốm Bát Tràng Fujishi 3.2 Lít HK-33B Màu Ngẫu Nhiên,2,264,38,89,26900000000,26900000000,26900000000,4.820224719101123,0,3,2,3,81,44,27
5,188203314,18645997,"Bếp gas âm Fujipan FJ-8910V chén đồng, lửa xanh, tiết kiệm gas - Hàng chính hãng - ALOBUY VN",25,287,186,127,79500000000,79500000000,84500000000,4.870689655172414,0,1,3,6,106,72,44
6,5501213671,18645997,"Bộ 3 lõi lọc RO KAROFI số 1,2,3",27,304,28,79,8900000000,8900000000,19900000000,4.8354430379746836,1,1,1,4,72,33,25
7,188203394,18645997,"Bếp gas đơn hồng ngoại Fujishi FR-268-IHN Sài Bình Gas Lớn, BH 12 tháng",8,254,91,95,23500000000,23500000000,23500000000,4.811111111111111,1,0,5,3,81,47,37
8,1187340332,18645997,[Mã 157ELSALE giảm 7% đơn 300K] Quạt lửng Senko L1638 (L1338) Màu Ngẫu Nhiên,4,289,115,106,37900000000,37900000000,37900000000,4.754716981132075,4,0,2,6,94,43,31
9,219821272,18645997,[Mã ELHA22 giảm 5% đơn 300K] Quạt bàn mini Lifan GN-4 Màu Ngẫu Nhiên,2,789,263,274,17900000000,17900000000,17900000000,4.806691449814126,2,1,10,21,235,124,54
10,188192796,18645997,[Mã 157ELSALE giảm 7% đơn 300K] Bếp gas hồng ngoại Fujishi FM-H07,0,369,225,137,40900000000,40900000000,40900000000,4.836065573770492,2,1,0,9,110,71,5
11,273708711,18645997,[Mã 157ELSALE giảm 7% đơn 300K] Bếp gas hồng ngoại kính cường lực Fujishi FM-H10-HN,9,393,151,161,40900000000,40900000000,40900000000,4.8311688311688314,2,0,4,10,138,78,45
12,255599866,18645997,Bàn ủi khô Kim Cương T-602,7,411,77,106,18500000000,18500000000,18500000000,4.796116504854369,1,0,4,9,89,64,6
