index,name,link,category,country,shop_location,user_id,shop_id,cancellation_rate,response_rate,rating_normal,rating_bad,rating_good,total_avg_star,follower_count,following_count,item_count
50,Aoberst,https://shopee.vn/aoberst_vietnam,Mẹ & Bé,VN,Hà Nội,138081896,138080072,0,39,9,5,313,4.837535,616,1247,36
51,Baby Tattoo,https://shopee.vn/pigeonvnofficial,Mẹ & Bé,VN,TP. Hồ Chí Minh,163070105,163067971,0,95,166,74,16573,4.945523,91563,2,146
52,BabyZ,https://shopee.vn/babyz.official,Mẹ & Bé,VN,Hà Nội,253421192,253420541,2,94,512,212,34892,4.916515,90632,18,876
53,Bobby,https://shopee.vn/bobby_officialstore,Mẹ & Bé,VN,TP. Hồ Chí Minh,63523369,63521925,0,91,2742,2242,277610,4.930938,182975,2,464
54,cooperlpetpremium,https://shopee.vn/cooperlpetpremium,Thú cưng,VN,TP. Hồ Chí Minh,378397905,378378328,0,57,0,0,144,5,12528,90,15
55,Pedigree,https://shopee.vn/mars_petcare,Thú cưng,VN,TP. Hồ Chí Minh,55065996,55064572,0,83,681,761,65397,4.919253,307538,5,173
56,Whiskas,https://shopee.vn/mars_petcare,Thú cưng,VN,TP. Hồ Chí Minh,55065996,55064572,0,83,681,761,65397,4.919253,307538,5,173
57,Á Châu Books,https://shopee.vn/a_chau_books,Nhà Sách Online,VN,Hà Nội,109547363,109545884,0,83,23,13,3948,4.953823,5380,48,279
58,Amak,https://shopee.vn/nhasachamak,Nhà Sách Online,VN,Hà Nội,40471998,40470612,0,59,949,209,82484,4.940578,49066,1,220
59,Anbert Manga,https://shopee.vn/anbertmangashop,Nhà Sách Online,VN,Hà Nội,5641209,5639914,3,60,544,145,42351,4.929366,30723,10,618
60,Bailey,https://shopee.vn/thuyanhaladin,Nhà Sách Online,VN,Hà Nội,193936410,193933541,0,73,25,2,1933,4.941237,3348,37,32
61,Betabooks,https://shopee.vn/betabooks,Nhà Sách Online,VN,Hà Nội,284641763,284634361,0,98,398,95,38186,4.940602,65180,15,1746
62,Abbieoh,https://shopee.vn/abbie.oh,Thời trang trẻ em,VN,Hà Nội,327972298,327952723,0,90,77,19,9180,4.957481,92892,18,153
63,Arich Shop,https://shopee.vn/shopsun_10,Thời trang trẻ em,VN,TP. Hồ Chí Minh,107554011,107552532,0,88,43,16,6893,4.963591,27902,1250,109
64,Balabala Flagship Store,https://shopee.vn/balabala_vietnam,Thời trang trẻ em,VN,TP. Hồ Chí Minh,371768343,371748766,0,78,0,1,148,4.972222,1751,47,1213
65,Bita's,https://shopee.vn/bitas_store,Thời trang trẻ em,VN,TP. Hồ Chí Minh,100704567,100703088,0,65,115,61,7598,4.905908,11252,5,367
66,Chaang,https://shopee.vn/chaangvietnam,Thời trang trẻ em,VN,Hà Nội,24408879,24407543,0,93,298,170,23202,4.923843,73582,12,923
67,Acome,https://shopee.vn/acome_official_store,Điện Thoại và Phụ Kiện,VN,TP. Hồ Chí Minh,277279801,277274640,0,100,428,206,24610,4.896052,38610,5,84
68,Apple,https://shopee.vn/apple_flagship_store,Điện Thoại và Phụ Kiện,VN,TP. Hồ Chí Minh,88203157,88201679,0,95,450,510,33743,4.892503,414965,1,230
69,Baseus Official Store,https://shopee.vn/baseus_official_store,Điện Thoại và Phụ Kiện,VN,TP. Hồ Chí Minh,172257620,172255202,0,51,420,338,15760,4.82195,36358,1,439
70,borofone.official,https://shopee.vn/borofone.official,Điện Thoại và Phụ Kiện,VN,Hà Nội,116596588,116594764,0,84,214,166,13424,4.888287,26943,16,56
71,Divoom,https://shopee.vn/divoom_flagship_store,Điện Thoại và Phụ Kiện,VN,TP. Hồ Chí Minh,153130935,153129058,0,96,36,12,2907,4.946471,101257,3,41
72,Ahiha Jewelry,https://shopee.vn/ahiha.jewelry,Phụ Kiện & Trang Sức Nữ,VN,Đà Nẵng,171474898,171472496,0,91,1,0,2289,4.99635,4487,31,52
73,Anta Jewelry,https://shopee.vn/anta.officialstore,Phụ Kiện & Trang Sức Nữ,VN,Hà Nội,230320693,230316057,0,89,434,379,19978,4.823493,75170,0,275
74,Bảo Tín Mạnh Hải Official,https://shopee.vn/baotinmanhhai_official,Phụ Kiện & Trang Sức Nữ,VN,Hà Nội,608144182,608124597,0,61,3,3,140,4.833333,18594,2,111
75,CAPMAN,https://shopee.vn/cap.man,Phụ Kiện & Trang Sức Nữ,VN,TP. Hồ Chí Minh,329415609,329396034,0,100,259,80,43036,4.953281,230228,0,124
76,Doji Official Store,https://shopee.vn/quatangvatrangsucdoji,Phụ Kiện & Trang Sức Nữ,VN,Hà Nội,202898268,202895087,0,66,2,3,241,4.913793,6671,0,174
77,Bảo Thanh,https://shopee.vn/donghobaothanh,Đồng Hồ,VN,Hà Nội,131642415,131640591,0,39,0,0,20,4.913043,10562,3,551
78,Curnon,https://shopee.vn/curnonwatch,Đồng Hồ,VN,Hà Nội,52638256,52636868,0,97,109,32,7327,4.92174,314208,4,91
79,Đồng Hồ Julius,https://shopee.vn/donghottd,Đồng Hồ,VN,TP. Hồ Chí Minh,14288135,14286831,0,92,68,43,3739,4.886023,80836,35,507
80,Hannah Martin,https://shopee.vn/hannahmartinofficial,Đồng Hồ,VN,Hà Nội,414701693,414682116,3,65,20,12,1241,4.889764,4199,2,27
81,Julius Như Quỳnh,https://shopee.vn/nhuquynhwatchjulius,Đồng Hồ,VN,Khánh Hòa,118352787,118350963,0,79,0,0,74,5,1874,235,658
82,Alobuy,https://shopee.vn/alobuy_official_store,Thiết Bị Điện Tử,VN,TP. Hồ Chí Minh,18647333,18645997,0,86,306,131,8496,4.806433,8847,29,855
83,Ariston Official Store,https://shopee.vn/ariston_official_store,Thiết Bị Điện Tử,VN,TP. Hồ Chí Minh,244549213,244543449,0,90,32,25,573,4.654896,2688,1,21
84,Bảo Châu Electric,https://shopee.vn/baochauelec_2005,Thiết Bị Điện Tử,VN,Hà Nội,457872444,457852867,0,55,0,0,13,4.916667,92,9,62
85,Braun,https://shopee.vn/homeno1,Thiết Bị Điện Tử,VN,TP. Hồ Chí Minh,158821744,158819721,0,100,15,5,1432,4.937716,7429,5,142
86,Coocaa Official Store,https://shopee.vn/coocaa_official_store,Thiết Bị Điện Tử,VN,TP. Hồ Chí Minh,131203485,131201661,0,100,109,92,4596,4.817836,164985,5,27
87,Adda,https://shopee.vn/depthailannam,Giày Dép Nam,VN,TP. Hồ Chí Minh,311606059,311586474,0,85,37,19,2412,4.904938,8974,5,95
88,Bita's,https://shopee.vn/bitas_store,Giày Dép Nam,VN,TP. Hồ Chí Minh,100704567,100703088,0,65,115,61,7598,4.905908,11252,5,367
89,Deci,https://shopee.vn/decivietnam,Giày Dép Nam,VN,TP. Hồ Chí Minh,280837312,280830754,0,91,36,22,3803,4.930385,10736,181,97
90,Drake,https://shopee.vn/drakedangkhoa,Giày Dép Nam,VN,TP. Hồ Chí Minh,76336019,76334547,0,81,34,5,4711,4.952673,81125,1,1524
91,forshoes.vn,https://shopee.vn/forshoes.vn,Giày Dép Nam,VN,Hải Phòng,446783759,446764182,2,98,0,0,165,5,310,3,51
92,Alilo Offcial,https://shopee.vn/alilo_official_store,Đồ chơi,VN,TP. Hồ Chí Minh,445884248,445864671,0,100,0,0,9,4.857143,40872,16,11
